,Total,Europe,Austria-Hungary,Austria,Hungary ,Belgium,Czechoslovakia ,Denmark,France,Germany,Greece,Ireland 5 ,Italy,Netherlands,Norway-Sweden,Norway,Sweden,Poland ,Portugal,Romania,Soviet Union ,Spain,Switzerland,United Kingdom,Yugoslavia ,Other Europe,Asia ,China,Hong Kong ,India ,Iran ,Israel ,Japan,Korea,Philippines,Turkey,Vietnam,Other Asia,America,Canada & Newfoundland,Mexico,Caribbean,Cuba,Dominican Republic,Haiti,Jamaica,Other Caribbean,Central America,El Salvador,Other Central America,South America,Argentina,Columbia,Ecuador,Other South America,Other America,Africa,Oceania ,Unknown
1994,804416.0,166279.0,2123.0,1314.0,809.0,621.0,759.0,639.0,3592.0,8940.0,2539.0,16525.0,2664.0,1359.0,1804.0,515.0,1289.0,27597.0,2163.0,2932.0,64502.0,1756.0,1183.0,17666.0,3183.0,3732.0,282449.0,58867.0,11953.0,33173.0,6998.0,3982.0,6974.0,15417.0,52832.0,3880.0,32387.0,55986.0,325173.0,22243.0,111415.0,103750.0,14216.0,51221.0,13166.0,13909.0,11238.0,40256.0,17669.0,22587.0,47505.0,2474.0,10653.0,5943.0,28435.0,4.0,24864.0,5647.0,4.0
1995,720461.0,132914.0,2190.0,1340.0,850.0,694.0,1057.0,588.0,3178.0,7896.0,2404.0,4851.0,2594.0,1284.0,1607.0,465.0,1142.0,13570.0,2611.0,4565.0,54133.0,1664.0,1119.0,14207.0,7828.0,4874.0,259984.0,41112.0,10699.0,33060.0,5646.0,3188.0,5556.0,15053.0,49696.0,4806.0,37764.0,53404.0,282270.0,18117.0,90045.0,96021.0,17661.0,38493.0,13872.0,16061.0,9934.0,32020.0,11670.0,20350.0,46063.0,2239.0,10641.0,6453.0,26730.0,4.0,39818.0,5472.0,3.0
1996,915900.0,151898.0,2325.0,1182.0,1143.0,802.0,1299.0,795.0,3896.0,8365.0,2394.0,1611.0,2755.0,1553.0,2015.0,552.0,1463.0,15504.0,3024.0,5449.0,61895.0,1970.0,1344.0,15564.0,10755.0,8583.0,300574.0,50981.0,11319.0,42819.0,7299.0,4029.0,6617.0,17380.0,54588.0,5573.0,39922.0,60047.0,407813.0,21751.0,163743.0,115991.0,26166.0,36284.0,18185.0,18732.0,16624.0,44336.0,17847.0,26489.0,61990.0,2878.0,14078.0,8348.0,36686.0,2.0,49605.0,6008.0,2.0
1997,798378.0,122358.0,1964.0,1044.0,920.0,633.0,1169.0,507.0,3007.0,6941.0,1483.0,932.0,2190.0,1197.0,1517.0,391.0,1126.0,11729.0,1690.0,5276.0,48238.0,1607.0,1302.0,11950.0,9913.0,9113.0,258561.0,44356.0,7974.0,36092.0,6291.0,2951.0,5640.0,13626.0,47842.0,4596.0,37121.0,52072.0,359619.0,15788.0,146680.0,101095.0,29913.0,24966.0,14941.0,17585.0,13690.0,43451.0,17741.0,25710.0,52600.0,2055.0,12795.0,7763.0,29987.0,5.0,44668.0,4855.0,8317.0
1998,654451.0,92911.0,1435.0,610.0,825.0,557.0,931.0,447.0,2961.0,6923.0,1183.0,907.0,1966.0,1036.0,1344.0,327.0,1017.0,8202.0,1523.0,4833.0,28984.0,1185.0,1090.0,10170.0,7264.0,9970.0,212799.0,41034.0,7379.0,34288.0,4945.0,2546.0,5647.0,13691.0,33176.0,4016.0,16534.0,49543.0,298156.0,14295.0,130661.0,72948.0,15415.0,20267.0,13316.0,14819.0,9131.0,35368.0,14329.0,21039.0,44884.0,1649.0,11618.0,6840.0,24777.0,0.0,37494.0,4403.0,8688.0
1999,646568.0,94373.0,1518.0,727.0,791.0,522.0,895.0,387.0,2664.0,7442.0,4061.0,806.0,1681.0,881.0,1284.0,358.0,926.0,8487.0,1078.0,5417.0,32740.0,1074.0,885.0,8663.0,7077.0,6811.0,193061.0,29579.0,6533.0,28355.0,5042.0,2538.0,4770.0,12301.0,29590.0,2472.0,19164.0,52717.0,312324.0,12948.0,146436.0,70386.0,13289.0,17745.0,16459.0,14449.0,8444.0,41441.0,14416.0,27025.0,41112.0,1578.0,9769.0,8903.0,20862.0,1.0,33740.0,4299.0,8771.0
1991-99,8245610.0,1226375.0,22858.0,14503.0,8355.0,6263.0,8401.0,5523.0,31727.0,80234.0,21621.0,55671.0,60027.0,11842.0,15916.0,4665.0,11251.0,153974.0,21514.0,44682.0,419067.0,15751.0,10492.0,137334.0,54344.0,49134.0,2539812.0,377253.0,102580.0,323988.0,62051.0,35504.0,60212.0,148952.0,463358.0,35499.0,260805.0,669610.0,4089605.0,170512.0,2077673.0,892912.0,150000.0,317810.0,157640.0,153573.0,113889.0,464207.0,193466.0,270741.0,484264.0,24159.0,114308.0,68934.0,276863.0,37.0,313970.0,49883.0,25965.0
2000,849807.0,133362.0,2024.0,997.0,1027.0,827.0,1415.0,556.0,4093.0,12372.0,5138.0,1279.0,2695.0,1466.0,1977.0,513.0,1464.0,9773.0,1402.0,6521.0,43807.0,1406.0,1349.0,14532.0,12213.0,8517.0,255860.0,41861.0,7199.0,39072.0,6505.0,3893.0,7730.0,15214.0,40587.0,2713.0,25340.0,65746.0,397201.0,21475.0,171748.0,85875.0,19322.0,17441.0,22004.0,15654.0,11454.0,62708.0,22332.0,40376.0,55392.0,2485.0,14191.0,7658.0,31058.0,3.0,40969.0,5962.0,16453.0
1991-2000,9095417.0,1359737.0,24882.0,15500.0,9382.0,7090.0,9816.0,6079.0,35820.0,92606.0,26759.0,56950.0,62722.0,13308.0,17893.0,5178.0,12715.0,163747.0,22916.0,51203.0,462874.0,17157.0,11841.0,151866.0,66557.0,57651.0,2795672.0,419114.0,109779.0,363060.0,68556.0,39397.0,67942.0,164166.0,503945.0,38212.0,286145.0,735356.0,4486806.0,191987.0,2249421.0,978787.0,169322.0,335251.0,179644.0,169227.0,125343.0,526915.0,215798.0,311117.0,539656.0,26644.0,128499.0,76592.0,307921.0,40.0,354939.0,55845.0,42418.0
2001,1064318.0,177833.0,2318.0,1004.0,1314.0,1002.0,1921.0,741.0,5431.0,22093.0,1966.0,1550.0,3377.0,1895.0,2561.0,588.0,1973.0,12355.0,1654.0,6224.0,55099.0,1889.0,1796.0,20258.0,21937.0,11766.0,337566.0,50821.0,10307.0,65916.0,8063.0,4925.0,10464.0,19933.0,50870.0,3477.0,34648.0,78142.0,473351.0,30203.0,204844.0,96958.0,26073.0,21256.0,22535.0,15099.0,11995.0,73063.0,31054.0,42009.0,68279.0,3459.0,16333.0,9694.0,38793.0,4.0,50209.0,7253.0,18106.0
2002,1063732.0,177652.0,4016.0,2657.0,1359.0,842.0,1862.0,655.0,4596.0,21058.0,1516.0,1419.0,2837.0,2305.0,2097.0,464.0,1633.0,13304.0,1320.0,4525.0,55464.0,1603.0,1503.0,18057.0,28100.0,10573.0,326871.0,55974.0,7952.0,66864.0,7730.0,4938.0,9150.0,20114.0,48674.0,3934.0,32425.0,69116.0,478777.0,27299.0,217318.0,94240.0,27520.0,22474.0,19189.0,14567.0,10490.0,66520.0,30539.0,35981.0,73400.0,3811.0,18488.0,10564.0,40537.0,3.0,56135.0,6536.0,17761.0
2003,705827.0,102843.0,2181.0,1163.0,1018.0,518.0,1474.0,436.0,2933.0,8102.0,914.0,1010.0,1904.0,1329.0,1520.0,386.0,1134.0,11016.0,821.0,3311.0,33563.0,1107.0,867.0,11220.0,5312.0,10321.0,236039.0,37395.0,5020.0,47157.0,4709.0,3719.0,6724.0,12177.0,43258.0,3332.0,21270.0,51278.0,306793.0,16555.0,114984.0,67660.0,8722.0,26157.0,11942.0,13082.0,7757.0,53435.0,27915.0,25520.0,54155.0,3217.0,14455.0,7040.0,29443.0,4.0,45640.0,5102.0,9410.0
1820-1998,64593056.0,38233062.0,4364122.0,1842722.0,1675324.0,216297.0,153307.0,375548.0,816650.0,7156257.0,721464.0,4779998.0,5431454.0,385193.0,2160586.0,758026.0,1257133.0,751823.0,521697.0,244106.0,3830033.0,299825.0,369046.0,5247821.0,183538.0,224297.0,8365931.0,1262050.0,398277.0,751349.0,233860.0,170506.0,517686.0,778899.0,1460421.0,445354.0,699918.0,1647611.0,16844829.0,4453149.0,5819966.0,3525703.0,885421.0,810201.0,375938.0,568624.0,885519.0,1242394.0,453717.0,788677.0,1693441.0,153699.0,399892.0,215798.0,924052.0,110176.0,614375.0,250206.0,284653.0
1820-1999,65239624.0,38327435.0,4365640.0,1843449.0,1676115.0,216819.0,154202.0,375935.0,819314.0,7163699.0,725525.0,4780804.0,5433135.0,386074.0,2161870.0,758384.0,1258059.0,760310.0,522775.0,249523.0,3862773.0,300899.0,369931.0,5256484.0,190615.0,231108.0,8558992.0,1291629.0,404810.0,779704.0,238902.0,173044.0,522456.0,791200.0,1490011.0,447826.0,719082.0,1700328.0,17157153.0,4466097.0,5966402.0,3596089.0,898710.0,827946.0,392397.0,583073.0,893963.0,1283835.0,468133.0,815702.0,1734553.0,155277.0,409661.0,224701.0,944914.0,110177.0,648115.0,254505.0,293424.0
1820-2000,66089431.0,38460797.0,4367664.0,1844446.0,1677142.0,217646.0,155617.0,376491.0,823407.0,7176071.0,730663.0,4782083.0,5435830.0,387540.0,2163847.0,758897.0,1259523.0,770083.0,524177.0,256044.0,3906580.0,302305.0,371280.0,5271016.0,202828.0,239625.0,8814852.0,1333490.0,412009.0,818776.0,245407.0,176937.0,530186.0,806414.0,1530598.0,450539.0,744422.0,1766074.0,17554354.0,4487572.0,6138150.0,3681964.0,918032.0,845387.0,414401.0,598727.0,905417.0,1346543.0,490465.0,856078.0,1789945.0,157762.0,423852.0,232359.0,975972.0,110180.0,689084.0,260467.0,309877.0
1820-2001,67153749.0,38638630.0,4369982.0,1845450.0,1678456.0,218648.0,157538.0,377232.0,828838.0,7198164.0,732629.0,4783633.0,5439207.0,389435.0,2166408.0,759485.0,1261496.0,782438.0,525831.0,262268.0,3961679.0,304194.0,373076.0,5291274.0,224765.0,251391.0,9152418.0,1384311.0,422316.0,884692.0,253470.0,181862.0,540650.0,826347.0,1581468.0,454016.0,779070.0,1844216.0,18027705.0,4517775.0,6342994.0,3778922.0,944105.0,866643.0,436936.0,613826.0,917412.0,1419606.0,521519.0,898087.0,1858224.0,161221.0,440185.0,242053.0,1014765.0,110184.0,739293.0,267720.0,327983.0
1820-2002,68217481.0,38816282.0,4373998.0,1848107.0,1679815.0,219490.0,159400.0,377887.0,833434.0,7219222.0,734145.0,4785052.0,5442044.0,391740.0,2168505.0,759949.0,1263129.0,795742.0,527151.0,266793.0,4017143.0,305797.0,374579.0,5309331.0,252865.0,261964.0,9479289.0,1440285.0,430268.0,951556.0,261200.0,186800.0,549800.0,846461.0,1630142.0,457950.0,811495.0,1913332.0,18506482.0,4545074.0,6560312.0,3873162.0,971625.0,889117.0,456125.0,628393.0,927902.0,1486126.0,552058.0,934068.0,1931624.0,165032.0,458673.0,252617.0,1055302.0,110184.0,795428.0,274256.0,345744.0
1820-2003,68923308.0,38919125.0,4376179.0,1849270.0,1680833.0,220008.0,160874.0,378323.0,836367.0,7227324.0,735059.0,4786062.0,5443948.0,393069.0,2170025.0,760335.0,1264263.0,806758.0,527972.0,270104.0,4050706.0,306904.0,375446.0,5320551.0,258177.0,272285.0,9715328.0,1477680.0,435288.0,998713.0,265909.0,190519.0,556524.0,858638.0,1673400.0,461282.0,832765.0,1964610.0,18813275.0,4561629.0,6675296.0,3940822.0,980347.0,915274.0,468067.0,641475.0,935659.0,1539561.0,579973.0,959588.0,1985779.0,168249.0,473128.0,259657.0,1084745.0,110188.0,841068.0,279358.0,355154.0
