Number,Top-Subject
4,Government operations
13,Law enforcement
4,Social welfare
2,Families
3,Congress
10,National security
1,Transportation
36,Economics and Finance
19,Immigration
3,Employment
2,Education
1,Civil rights and minority issues
1,Health
1,Commemorations
12,Int. Affairs
1,Science and Technology
1,Taxation
