,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
United Arab Emirates,779.0,6.0,0.0,4.0,0.0,121.0,,8.0,3.0,,40.0,19.0,0.0,0.0,0.0,33.0,7.0,,8.0,8.0,6.0,0.0,22.0,22.0,36.0,23.0,,5.0,0.0,5.0,,,53.0,,74.0,21.0,5.0,20.0,5.0,5.0,24.0,0.0,,0.0,0.0,9.0,95.0,0.0,0.0,6.0,0.0,52.0,15.0,3.0,4.0,0.0,0
United Kingdom,12792.0,81.0,20.0,235.0,52.0,2364.0,218.0,264.0,35.0,66.0,1329.0,392.0,0.0,47.0,40.0,384.0,129.0,31.0,61.0,85.0,67.0,43.0,260.0,388.0,280.0,100.0,26.0,116.0,11.0,33.0,109.0,59.0,574.0,44.0,1335.0,307.0,12.0,233.0,78.0,137.0,398.0,6.0,33.0,145.0,11.0,120.0,1093.0,0.0,3.0,90.0,24.0,315.0,364.0,19.0,118.0,8.0,0
United States,201.0,,0.0,3.0,0.0,44.0,0.0,4.0,0.0,,24.0,6.0,0.0,0.0,0.0,5.0,,0.0,4.0,0.0,,,7.0,3.0,0.0,,,0.0,0.0,0.0,3.0,0.0,9.0,,25.0,,0.0,,,,,,,,0.0,0.0,27.0,0.0,,3.0,0.0,10.0,,0.0,0.0,0.0,0
Uruguay,1331.0,,,9.0,0.0,64.0,7.0,33.0,,4.0,422.0,78.0,0.0,3.0,3.0,16.0,5.0,0.0,,0.0,5.0,0.0,26.0,80.0,,5.0,5.0,5.0,0.0,0.0,10.0,10.0,201.0,,110.0,12.0,0.0,11.0,,,11.0,13.0,0.0,12.0,0.0,9.0,57.0,0.0,0.0,40.0,0.0,38.0,4.0,0.0,11.0,,0
Uzbekistan,4770.0,,,28.0,4.0,256.0,57.0,18.0,,9.0,179.0,31.0,0.0,0.0,20.0,86.0,19.0,3.0,7.0,29.0,4.0,,90.0,21.0,53.0,32.0,6.0,22.0,7.0,13.0,7.0,,137.0,,2838.0,19.0,6.0,124.0,,25.0,263.0,0.0,,71.0,3.0,71.0,43.0,0.0,0.0,12.0,,87.0,55.0,,4.0,0.0,0
Vanuatu,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Venezuela,9409.0,17.0,13.0,49.0,14.0,325.0,35.0,69.0,10.0,20.0,5074.0,278.0,0.0,9.0,9.0,101.0,53.0,7.0,24.0,17.0,85.0,,95.0,119.0,55.0,28.0,17.0,18.0,,12.0,27.0,5.0,254.0,12.0,508.0,122.0,0.0,91.0,36.0,11.0,114.0,165.0,16.0,45.0,0.0,54.0,1041.0,0.0,4.0,85.0,3.0,164.0,57.0,,34.0,4.0,0
Vietnam,30632.0,120.0,14.0,448.0,87.0,11501.0,442.0,182.0,24.0,22.0,1164.0,993.0,,146.0,32.0,432.0,149.0,212.0,301.0,120.0,373.0,26.0,365.0,1018.0,355.0,482.0,130.0,245.0,5.0,250.0,181.0,57.0,399.0,137.0,473.0,725.0,16.0,256.0,287.0,757.0,862.0,,7.0,111.0,11.0,206.0,3700.0,,,181.0,16.0,968.0,1538.0,15.0,72.0,13.0,0
Yemen,3591.0,31.0,0.0,15.0,17.0,570.0,5.0,23.0,5.0,,4.0,11.0,0.0,0.0,,149.0,25.0,,6.0,0.0,29.0,,,5.0,738.0,39.0,26.0,9.0,0.0,0.0,6.0,0.0,11.0,5.0,1595.0,92.0,,23.0,0.0,,10.0,0.0,0.0,0.0,4.0,58.0,23.0,0.0,0.0,0.0,3.0,29.0,13.0,,,0.0,0
Zambia,628.0,3.0,5.0,23.0,3.0,35.0,0.0,18.0,,4.0,33.0,44.0,0.0,0.0,,21.0,26.0,3.0,,4.0,5.0,,26.0,18.0,23.0,8.0,8.0,23.0,0.0,8.0,,0.0,16.0,0.0,48.0,10.0,,19.0,8.0,5.0,31.0,0.0,,5.0,4.0,0.0,75.0,0.0,,12.0,4.0,24.0,13.0,,,0.0,0
Zimbabwe,1274.0,11.0,0.0,32.0,,106.0,16.0,23.0,6.0,6.0,64.0,73.0,0.0,,,24.0,66.0,6.0,4.0,27.0,,4.0,50.0,59.0,45.0,10.0,3.0,10.0,0.0,13.0,7.0,,34.0,5.0,65.0,52.0,,54.0,21.0,15.0,43.0,0.0,,7.0,,15.0,218.0,0.0,0.0,5.0,,33.0,21.0,,3.0,0.0,0
Unknown,1330.0,22.0,0.0,15.0,6.0,218.0,11.0,12.0,4.0,5.0,134.0,17.0,0.0,5.0,8.0,104.0,15.0,4.0,1.0,19.0,36.0,1.0,31.0,16.0,55.0,7.0,2.0,16.0,0.0,5.0,5.0,1.0,70.0,1.0,132.0,38.0,1.0,42.0,3.0,12.0,52.0,5.0,1.0,5.0,0.0,25.0,84.0,0.0,6.0,4.0,1.0,41.0,17.0,1.0,14.0,0.0,0
