,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Oman,74.0,0.0,0.0,,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,5.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,
Pakistan,14740.0,45.0,4.0,91.0,30.0,1731.0,67.0,270.0,53.0,11.0,478.0,377.0,0.0,15.0,10.0,963.0,77.0,34.0,52.0,42.0,100.0,4.0,630.0,311.0,333.0,87.0,22.0,118.0,6.0,16.0,60.0,29.0,1038.0,19.0,3229.0,245.0,,177.0,74.0,33.0,429.0,,29.0,41.0,4.0,68.0,1877.0,0.0,0.0,73.0,7.0,989.0,208.0,28.0,93.0,9.0
Palau,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
Panama,1281.0,16.0,6.0,9.0,6.0,83.0,10.0,6.0,5.0,4.0,301.0,55.0,0.0,4.0,4.0,25.0,6.0,3.0,5.0,8.0,17.0,0.0,33.0,20.0,4.0,5.0,8.0,16.0,,,14.0,,37.0,,208.0,49.0,0.0,7.0,8.0,7.0,24.0,17.0,4.0,9.0,0.0,11.0,133.0,0.0,0.0,9.0,,53.0,16.0,3.0,6.0,0.0
Papua New Guinea,21.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Paraguay,467.0,0.0,0.0,4.0,,15.0,3.0,7.0,0.0,3.0,77.0,6.0,0.0,0.0,,5.0,0.0,,6.0,5.0,0.0,,22.0,12.0,,,0.0,0.0,0.0,3.0,,,30.0,,197.0,5.0,0.0,,,0.0,3.0,,0.0,0.0,,4.0,14.0,,0.0,4.0,0.0,16.0,4.0,4.0,,0.0
Peru,12609.0,41.0,20.0,81.0,20.0,1644.0,149.0,419.0,20.0,33.0,2619.0,318.0,0.0,15.0,30.0,169.0,64.0,22.0,38.0,24.0,31.0,3.0,409.0,182.0,61.0,49.0,18.0,52.0,6.0,25.0,117.0,14.0,1749.0,33.0,1453.0,213.0,0.0,94.0,63.0,44.0,177.0,36.0,22.0,33.0,9.0,69.0,609.0,0.0,0.0,261.0,12.0,850.0,99.0,17.0,68.0,5.0
Philippines,57327.0,145.0,600.0,849.0,164.0,22484.0,350.0,327.0,86.0,97.0,2372.0,527.0,1152.0,4037.0,91.0,2377.0,345.0,115.0,207.0,165.0,250.0,57.0,1257.0,311.0,505.0,309.0,122.0,322.0,48.0,62.0,1869.0,68.0,2319.0,190.0,3231.0,597.0,38.0,529.0,173.0,407.0,555.0,11.0,53.0,240.0,55.0,346.0,2778.0,33.0,493.0,135.0,28.0,1315.0,1804.0,68.0,216.0,43.0
Poland,6300.0,5.0,6.0,38.0,5.0,237.0,42.0,367.0,6.0,10.0,266.0,39.0,0.0,10.0,7.0,2138.0,21.0,,8.0,15.0,11.0,6.0,56.0,133.0,106.0,11.0,3.0,14.0,4.0,4.0,22.0,12.0,702.0,6.0,1407.0,37.0,8.0,43.0,8.0,10.0,152.0,0.0,22.0,14.0,,9.0,115.0,,0.0,12.0,7.0,57.0,39.0,,43.0,
Portugal,811.0,0.0,,4.0,,78.0,10.0,33.0,,,58.0,17.0,,,0.0,14.0,0.0,3.0,,,3.0,0.0,11.0,161.0,3.0,,0.0,,0.0,,,5.0,174.0,,104.0,,0.0,4.0,0.0,,10.0,,46.0,,,0.0,19.0,0.0,0.0,4.0,,14.0,4.0,0.0,5.0,0.0
Qatar,141.0,4.0,0.0,0.0,0.0,26.0,3.0,,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,,0.0,,0.0,5.0,5.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,28.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0
Romania,3748.0,20.0,,141.0,10.0,437.0,29.0,54.0,13.0,10.0,356.0,155.0,0.0,5.0,13.0,433.0,31.0,8.0,8.0,11.0,21.0,9.0,65.0,74.0,219.0,17.0,4.0,22.0,4.0,,56.0,16.0,116.0,8.0,470.0,73.0,,113.0,6.0,80.0,93.0,5.0,6.0,24.0,0.0,35.0,158.0,0.0,0.0,12.0,,104.0,164.0,4.0,20.0,11.0
Russia,9969.0,47.0,43.0,65.0,18.0,1582.0,184.0,133.0,34.0,45.0,756.0,185.0,,26.0,29.0,370.0,70.0,31.0,38.0,34.0,42.0,27.0,253.0,412.0,138.0,121.0,17.0,80.0,9.0,15.0,86.0,28.0,560.0,18.0,1977.0,168.0,8.0,221.0,30.0,122.0,356.0,7.0,27.0,85.0,8.0,79.0,383.0,,4.0,49.0,12.0,328.0,480.0,19.0,94.0,12.0
