,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Gambia,978.0,9.0,11.0,6.0,0.0,18.0,4.0,,,,8.0,107.0,0.0,0.0,0.0,7.0,4.0,3.0,15.0,16.0,,0.0,87.0,13.0,19.0,31.0,,6.0,0.0,,,,14.0,,232.0,64.0,0.0,36.0,4.0,4.0,28.0,0.0,15.0,,0.0,20.0,32.0,,0.0,,0.0,15.0,89.0,,43.0,0.0,0
Georgia,1578.0,5.0,,7.0,,219.0,13.0,18.0,3.0,7.0,73.0,29.0,0.0,,12.0,43.0,5.0,,,11.0,3.0,,20.0,22.0,7.0,12.0,0.0,7.0,,0.0,14.0,4.0,192.0,5.0,554.0,21.0,,31.0,3.0,8.0,90.0,0.0,3.0,10.0,0.0,5.0,22.0,0.0,0.0,9.0,,30.0,42.0,0.0,4.0,,0
Germany,7583.0,75.0,23.0,140.0,16.0,1295.0,153.0,101.0,24.0,39.0,683.0,244.0,3.0,44.0,22.0,239.0,75.0,44.0,40.0,49.0,50.0,29.0,161.0,233.0,234.0,73.0,28.0,83.0,21.0,15.0,59.0,38.0,220.0,52.0,850.0,213.0,8.0,165.0,45.0,79.0,208.0,7.0,28.0,116.0,12.0,89.0,505.0,,,62.0,4.0,255.0,216.0,16.0,93.0,4.0,0
Ghana,8401.0,27.0,5.0,57.0,22.0,257.0,151.0,203.0,52.0,14.0,156.0,465.0,0.0,,9.0,301.0,41.0,21.0,14.0,51.0,14.0,,692.0,498.0,73.0,154.0,3.0,47.0,5.0,16.0,25.0,4.0,745.0,11.0,1926.0,216.0,6.0,538.0,59.0,13.0,251.0,0.0,66.0,27.0,,72.0,323.0,,0.0,17.0,8.0,605.0,86.0,10.0,38.0,,0
Gibraltar,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greece,798.0,0.0,0.0,9.0,0.0,103.0,5.0,29.0,,,77.0,15.0,0.0,,0.0,44.0,7.0,4.0,,0.0,6.0,3.0,26.0,62.0,16.0,4.0,0.0,6.0,0.0,0.0,6.0,4.0,49.0,0.0,171.0,12.0,0.0,6.0,6.0,,27.0,0.0,,7.0,,5.0,35.0,0.0,0.0,,0.0,24.0,9.0,0.0,10.0,0.0,0
Grenada,748.0,0.0,,0.0,0.0,17.0,0.0,9.0,,,41.0,17.0,0.0,0.0,0.0,3.0,3.0,,,0.0,0.0,0.0,31.0,3.0,,0.0,0.0,0.0,0.0,,0.0,0.0,29.0,,514.0,7.0,0.0,,0.0,0.0,11.0,0.0,,0.0,0.0,,31.0,0.0,4.0,0.0,0.0,9.0,3.0,,,0.0,0
Guadeloupe,32.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guam,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guatemala,12187.0,119.0,14.0,189.0,68.0,4282.0,100.0,187.0,37.0,23.0,884.0,368.0,,,10.0,472.0,76.0,88.0,66.0,51.0,63.0,8.0,308.0,388.0,68.0,90.0,11.0,102.0,4.0,151.0,227.0,9.0,499.0,30.0,715.0,175.0,,91.0,66.0,150.0,110.0,11.0,254.0,52.0,39.0,117.0,641.0,0.0,0.0,106.0,5.0,389.0,198.0,5.0,59.0,6.0,0
Guinea,1725.0,7.0,0.0,3.0,0.0,31.0,22.0,11.0,4.0,6.0,17.0,120.0,0.0,0.0,0.0,26.0,47.0,4.0,10.0,5.0,0.0,3.0,111.0,34.0,21.0,55.0,,6.0,0.0,5.0,4.0,3.0,47.0,3.0,743.0,20.0,3.0,65.0,0.0,,90.0,0.0,30.0,0.0,,33.0,63.0,0.0,0.0,,,35.0,24.0,0.0,6.0,0.0,0
Guinea-Bissau,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
Guyana,6670.0,10.0,0.0,9.0,,71.0,12.0,104.0,8.0,12.0,614.0,144.0,0.0,,,16.0,4.0,4.0,,0.0,7.0,0.0,242.0,58.0,15.0,110.0,0.0,6.0,,0.0,6.0,,547.0,0.0,4363.0,35.0,0.0,37.0,7.0,0.0,75.0,6.0,,5.0,0.0,17.0,58.0,0.0,6.0,,,38.0,6.0,,5.0,0.0,0
Haiti,24280.0,11.0,,14.0,5.0,103.0,20.0,519.0,97.0,,13403.0,333.0,0.0,,10.0,142.0,40.0,18.0,17.0,18.0,35.0,7.0,288.0,1948.0,41.0,17.0,5.0,30.0,8.0,4.0,20.0,18.0,1775.0,16.0,4229.0,55.0,5.0,37.0,8.0,27.0,406.0,6.0,67.0,18.0,4.0,32.0,82.0,0.0,164.0,22.0,3.0,82.0,44.0,,19.0,0.0,0
Honduras,6404.0,22.0,,74.0,26.0,798.0,39.0,53.0,4.0,14.0,1381.0,130.0,0.0,3.0,6.0,134.0,52.0,30.0,42.0,19.0,276.0,3.0,171.0,170.0,28.0,34.0,15.0,45.0,0.0,18.0,55.0,4.0,404.0,8.0,718.0,187.0,,31.0,27.0,18.0,57.0,22.0,8.0,36.0,6.0,47.0,818.0,,0.0,10.0,0.0,273.0,51.0,,30.0,,0
Hong Kong,2651.0,8.0,0.0,18.0,4.0,1157.0,14.0,21.0,0.0,,47.0,29.0,7.0,41.0,0.0,66.0,5.0,6.0,9.0,5.0,7.0,,48.0,114.0,13.0,13.0,,9.0,3.0,0.0,25.0,5.0,96.0,,449.0,20.0,0.0,30.0,9.0,12.0,35.0,0.0,4.0,6.0,0.0,11.0,114.0,0.0,,12.0,0.0,24.0,135.0,,13.0,0.0,0
Hungary,1314.0,6.0,3.0,19.0,,232.0,15.0,34.0,0.0,3.0,274.0,17.0,,6.0,0.0,37.0,23.0,,,4.0,5.0,4.0,26.0,21.0,13.0,12.0,,6.0,,,27.0,3.0,73.0,,207.0,25.0,,30.0,,8.0,28.0,,,10.0,0.0,12.0,39.0,,0.0,8.0,0.0,28.0,19.0,0.0,17.0,,0
Iceland,131.0,,0.0,,0.0,28.0,0.0,,0.0,,22.0,15.0,0.0,0.0,,,3.0,,0.0,0.0,,4.0,0.0,8.0,,0.0,3.0,,0.0,0.0,0.0,0.0,3.0,0.0,9.0,,0.0,,6.0,0.0,4.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0
India,57304.0,291.0,4.0,553.0,175.0,12826.0,322.0,866.0,231.0,44.0,1675.0,1856.0,5.0,38.0,28.0,3946.0,657.0,174.0,281.0,270.0,242.0,30.0,1518.0,1666.0,1294.0,596.0,204.0,377.0,15.0,102.0,244.0,148.0,7080.0,73.0,4410.0,1026.0,29.0,1101.0,312.0,396.0,2142.0,4.0,75.0,309.0,24.0,550.0,4716.0,0.0,16.0,137.0,29.0,1944.0,1670.0,55.0,509.0,19.0,0
Indonesia,3679.0,17.0,5.0,59.0,10.0,1522.0,83.0,13.0,5.0,8.0,67.0,98.0,6.0,31.0,9.0,75.0,21.0,11.0,28.0,8.0,12.0,,79.0,45.0,31.0,38.0,4.0,11.0,3.0,4.0,43.0,68.0,105.0,9.0,329.0,27.0,3.0,53.0,30.0,32.0,157.0,,4.0,,,20.0,190.0,0.0,0.0,11.0,6.0,80.0,191.0,,9.0,,0
Iran,18553.0,45.0,3.0,279.0,14.0,11227.0,124.0,80.0,11.0,23.0,310.0,333.0,,10.0,63.0,322.0,49.0,21.0,70.0,51.0,38.0,10.0,531.0,208.0,105.0,99.0,14.0,69.0,,13.0,171.0,21.0,198.0,42.0,495.0,164.0,,133.0,80.0,101.0,120.0,,11.0,22.0,3.0,152.0,1481.0,0.0,0.0,149.0,,658.0,371.0,17.0,30.0,5.0,0
