,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Turkmenistan,217.0,0.0,0.0,3.0,0.0,45.0,4.0,3.0,,,12.0,7.0,0.0,8.0,7.0,0.0,,0.0,0.0,,0.0,,4.0,3.0,,0.0,0.0,0.0,,,,11.0,0.0,30.0,3.0,0.0,,0.0,,10.0,0.0,,0.0,0.0,7.0,0.0,0.0,8.0,0.0,6.0,11.0,0.0,18.0,,0
Turks and Caicos Islands,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
U.S. Virgin Islands,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Uganda,1122.0,,,15.0,3.0,171.0,28.0,13.0,,4.0,39.0,33.0,,5.0,53.0,15.0,8.0,8.0,6.0,0.0,,84.0,199.0,25.0,31.0,0.0,15.0,0.0,,5.0,,21.0,,39.0,19.0,4.0,20.0,11.0,9.0,29.0,3.0,7.0,0.0,19.0,74.0,0.0,0.0,3.0,,41.0,26.0,,21.0,0.0,0
Ukraine,11001.0,45.0,15.0,83.0,10.0,1483.0,152.0,218.0,11.0,13.0,500.0,162.0,9.0,33.0,1115.0,108.0,44.0,24.0,57.0,21.0,10.0,121.0,237.0,295.0,164.0,10.0,96.0,14.0,25.0,56.0,32.0,623.0,11.0,1998.0,196.0,4.0,334.0,33.0,380.0,542.0,11.0,48.0,45.0,82.0,179.0,,6.0,59.0,7.0,172.0,1014.0,9.0,81.0,,0
United Arab Emirates,758.0,7.0,0.0,16.0,4.0,97.0,5.0,11.0,,0.0,48.0,51.0,0.0,,54.0,9.0,3.0,,4.0,4.0,,17.0,13.0,40.0,21.0,0.0,4.0,0.0,3.0,11.0,,40.0,3.0,76.0,8.0,0.0,29.0,7.0,,27.0,0.0,,0.0,8.0,74.0,0.0,0.0,,0.0,40.0,9.0,0.0,6.0,0.0,0
United Kingdom,14545.0,64.0,20.0,300.0,45.0,2488.0,250.0,321.0,32.0,65.0,1554.0,531.0,52.0,39.0,515.0,149.0,34.0,55.0,76.0,72.0,57.0,235.0,503.0,318.0,146.0,28.0,138.0,22.0,18.0,143.0,65.0,702.0,75.0,1463.0,347.0,16.0,261.0,60.0,143.0,489.0,42.0,158.0,,159.0,1125.0,,14.0,90.0,41.0,358.0,484.0,31.0,130.0,14.0,0
United States,171.0,0.0,,,,41.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,,,,0.0,,0.0,0.0,3.0,9.0,,,,3.0,0.0,0.0,0.0,0.0,13.0,,26.0,,0.0,3.0,,0.0,,0.0,,0.0,,11.0,0.0,,0.0,0.0,5.0,,,,0.0,0
Uruguay,1418.0,3.0,3.0,14.0,0.0,76.0,4.0,23.0,,3.0,480.0,68.0,3.0,,20.0,,5.0,,3.0,4.0,0.0,20.0,75.0,8.0,7.0,,4.0,0.0,0.0,13.0,11.0,240.0,0.0,129.0,12.0,0.0,7.0,,3.0,24.0,,14.0,0.0,11.0,37.0,,15.0,15.0,0.0,34.0,7.0,0.0,12.0,0.0,0
Uzbekistan,4665.0,35.0,,76.0,5.0,392.0,148.0,44.0,,24.0,274.0,182.0,4.0,99.0,158.0,42.0,7.0,7.0,180.0,,3.0,124.0,115.0,76.0,17.0,,103.0,,,5.0,27.0,146.0,9.0,1043.0,55.0,,128.0,9.0,108.0,288.0,0.0,38.0,11.0,56.0,96.0,0.0,0.0,34.0,18.0,149.0,291.0,0.0,27.0,,0
Vanuatu,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Venezuela,10692.0,36.0,3.0,54.0,13.0,396.0,67.0,81.0,18.0,23.0,6078.0,304.0,9.0,7.0,117.0,54.0,15.0,34.0,17.0,48.0,5.0,105.0,157.0,74.0,37.0,17.0,41.0,,11.0,31.0,11.0,357.0,17.0,523.0,113.0,,106.0,46.0,33.0,118.0,26.0,64.0,0.0,80.0,749.0,0.0,203.0,125.0,,176.0,58.0,10.0,19.0,,0
Vietnam,28691.0,118.0,20.0,449.0,115.0,10198.0,455.0,188.0,18.0,24.0,1153.0,1033.0,181.0,70.0,560.0,158.0,199.0,333.0,120.0,386.0,32.0,448.0,820.0,426.0,557.0,85.0,301.0,5.0,188.0,148.0,65.0,439.0,95.0,643.0,685.0,22.0,292.0,284.0,526.0,789.0,19.0,98.0,15.0,204.0,3108.0,,23.0,162.0,20.0,969.0,1306.0,19.0,117.0,,0
Yemen,2396.0,28.0,0.0,19.0,,258.0,6.0,30.0,,,12.0,23.0,0.0,,90.0,35.0,0.0,,,5.0,0.0,7.0,6.0,704.0,15.0,17.0,4.0,0.0,0.0,8.0,0.0,8.0,5.0,908.0,35.0,0.0,4.0,0.0,,8.0,3.0,5.0,8.0,39.0,31.0,0.0,0.0,3.0,0.0,32.0,25.0,0.0,4.0,0.0,0
Zambia,576.0,3.0,,14.0,,70.0,7.0,4.0,0.0,3.0,31.0,53.0,3.0,,35.0,13.0,,4.0,6.0,0.0,,27.0,16.0,13.0,22.0,,13.0,0.0,3.0,0.0,,12.0,0.0,32.0,7.0,0.0,16.0,7.0,0.0,15.0,0.0,4.0,4.0,5.0,75.0,0.0,0.0,7.0,,22.0,15.0,0.0,4.0,,0
Zimbabwe,1057.0,8.0,,20.0,,104.0,9.0,3.0,4.0,5.0,59.0,65.0,,,27.0,43.0,8.0,4.0,21.0,3.0,,38.0,31.0,38.0,10.0,3.0,15.0,5.0,12.0,4.0,4.0,26.0,4.0,47.0,45.0,,40.0,6.0,3.0,47.0,,4.0,,19.0,191.0,0.0,0.0,5.0,,42.0,14.0,4.0,6.0,0.0,0
Unknown,1394.0,5.0,3.0,25.0,8.0,319.0,11.0,15.0,1.0,3.0,159.0,37.0,4.0,4.0,89.0,13.0,0.0,2.0,8.0,14.0,0.0,50.0,23.0,30.0,12.0,3.0,9.0,1.0,2.0,18.0,3.0,62.0,6.0,149.0,37.0,2.0,27.0,10.0,9.0,41.0,5.0,8.0,0.0,9.0,73.0,0.0,10.0,4.0,1.0,31.0,24.0,0.0,14.0,1.0,0
