Number,Top-Subject
4,Government operations and politics
13,Crime and law enforcement
4,Social welfare
2,Families
3,Congress
10,Armed forces and national security
1,Transportation and public works
36,Economics and public finance
19,Immigration
3,Labor and employment
2,Education
1,"Civil rights and liberties, minority issues"
1,Health
1,Commemorations
12,International affairs
1,"Science, technology, communications"
1,Taxation
