,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Mongolia,659.0,0.0,,10.0,9.0,250.0,41.0,,0.0,8.0,16.0,,0.0,,0.0,74.0,9.0,,0.0,,,0.0,18.0,5.0,3.0,8.0,0.0,15.0,0.0,,7.0,,8.0,,20.0,0.0,0.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,14.0,0.0,0.0,11.0,0.0,67.0,17.0,,16.0,0.0
Montserrat,61.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0
Morocco,4425.0,18.0,,36.0,8.0,284.0,94.0,89.0,6.0,20.0,446.0,93.0,0.0,,,149.0,33.0,13.0,20.0,33.0,10.0,3.0,113.0,534.0,44.0,38.0,21.0,28.0,,,23.0,20.0,259.0,6.0,636.0,120.0,,137.0,43.0,18.0,249.0,0.0,36.0,26.0,,26.0,194.0,0.0,0.0,5.0,4.0,408.0,51.0,3.0,18.0,
Mozambique,69.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,7.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
Namibia,46.0,0.0,0.0,,0.0,7.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,3.0,0.0,,
Nauru,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,4093.0,37.0,5.0,31.0,,564.0,223.0,86.0,,14.0,63.0,81.0,0.0,4.0,,102.0,25.0,33.0,16.0,26.0,6.0,4.0,286.0,194.0,62.0,62.0,3.0,12.0,0.0,54.0,19.0,44.0,78.0,5.0,597.0,48.0,4.0,40.0,8.0,31.0,48.0,0.0,16.0,9.0,4.0,14.0,563.0,3.0,,17.0,,405.0,89.0,6.0,42.0,3.0
Netherlands,1240.0,8.0,,17.0,3.0,200.0,24.0,22.0,,4.0,132.0,35.0,,5.0,,30.0,11.0,4.0,9.0,8.0,8.0,5.0,28.0,38.0,24.0,12.0,,11.0,,0.0,8.0,4.0,55.0,9.0,160.0,24.0,0.0,28.0,4.0,24.0,25.0,,5.0,11.0,3.0,13.0,107.0,0.0,0.0,9.0,4.0,26.0,50.0,3.0,18.0,
Netherlands Antilles,78.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,17.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.0,0.0,0.0,0.0,0.0,0.0,5.0,,4.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0
New Caledonia,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
