,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Australia,1291.0,0.0,4.0,31.0,4.0,341.0,43.0,18.0,,7.0,58.0,29.0,3.0,21.0,6.0,33.0,11.0,6.0,3.0,3.0,5.0,,25.0,50.0,24.0,17.0,6.0,14.0,,,25.0,9.0,32.0,7.0,98.0,27.0,0.0,22.0,7.0,26.0,23.0,0.0,,12.0,,11.0,85.0,,0.0,16.0,3.0,27.0,60.0,,12.0,3.0,12
Austria,271.0,0.0,,5.0,0.0,55.0,7.0,6.0,0.0,,29.0,9.0,0.0,7.0,,9.0,,4.0,0.0,,0.0,,5.0,8.0,,3.0,,,0.0,0.0,6.0,0.0,6.0,,47.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,,10.0,0.0,,,,10.0,6.0,0.0,4.0,0.0,2
Azerbaijan,1153.0,0.0,0.0,7.0,0.0,538.0,7.0,10.0,0.0,0.0,33.0,11.0,0.0,,,20.0,3.0,4.0,0.0,8.0,,3.0,15.0,34.0,20.0,12.0,0.0,8.0,0.0,0.0,5.0,4.0,15.0,0.0,205.0,8.0,,13.0,,10.0,33.0,0.0,5.0,0.0,0.0,5.0,27.0,0.0,0.0,6.0,0.0,16.0,54.0,0.0,,,3
Bahamas,609.0,5.0,0.0,,0.0,13.0,7.0,4.0,0.0,,361.0,56.0,0.0,,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,9.0,4.0,,6.0,5.0,0.0,,4.0,0.0,8.0,0.0,15.0,14.0,0.0,5.0,3.0,,4.0,,,7.0,0.0,5.0,17.0,3.0,0.0,0.0,0.0,10.0,,0.0,3.0,0.0,5
Bahrain,80.0,,0.0,,0.0,17.0,,0.0,0.0,,5.0,3.0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,7.0,0.0,0.0,,,,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0
Bangladesh,7325.0,29.0,5.0,57.0,18.0,558.0,18.0,111.0,19.0,10.0,488.0,224.0,,14.0,,99.0,29.0,4.0,24.0,12.0,16.0,6.0,147.0,134.0,336.0,40.0,7.0,16.0,,,26.0,7.0,362.0,6.0,3284.0,53.0,4.0,62.0,43.0,19.0,226.0,0.0,,25.0,,24.0,404.0,,0.0,3.0,0.0,225.0,24.0,4.0,6.0,0.0,87
Barbados,648.0,,0.0,3.0,0.0,18.0,4.0,15.0,,0.0,83.0,30.0,0.0,,0.0,5.0,4.0,0.0,,,,0.0,23.0,49.0,,0.0,0.0,,0.0,0.0,,0.0,28.0,0.0,256.0,17.0,0.0,,0.0,0.0,27.0,0.0,3.0,7.0,0.0,0.0,25.0,,5.0,0.0,,17.0,3.0,0.0,,0.0,7
Belarus,1814.0,,5.0,13.0,3.0,290.0,46.0,17.0,6.0,,103.0,36.0,0.0,,3.0,115.0,13.0,4.0,,5.0,,6.0,47.0,92.0,16.0,70.0,3.0,16.0,,,10.0,4.0,89.0,3.0,339.0,25.0,0.0,28.0,11.0,24.0,94.0,0.0,,29.0,,7.0,23.0,,0.0,,,34.0,128.0,,18.0,0.0,18
Belgium,525.0,,0.0,11.0,3.0,96.0,10.0,17.0,,5.0,50.0,24.0,,,,21.0,5.0,,,,5.0,0.0,19.0,20.0,13.0,,,,,0.0,3.0,,31.0,6.0,38.0,8.0,,5.0,0.0,9.0,16.0,0.0,,3.0,,,39.0,,,5.0,0.0,15.0,10.0,0.0,4.0,0.0,4
Belize,742.0,,0.0,6.0,,242.0,3.0,3.0,,0.0,80.0,12.0,0.0,,,88.0,,,3.0,5.0,10.0,0.0,5.0,6.0,,,,,,0.0,18.0,0.0,18.0,3.0,102.0,13.0,0.0,3.0,5.0,,5.0,0.0,0.0,7.0,0.0,3.0,45.0,3.0,0.0,0.0,0.0,21.0,8.0,,5.0,,1
