,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Saint Kitts-Nevis,331,0.0,0.0,0.0,,10.0,0.0,6.0,0.0,0.0,39.0,9.0,,0.0,4.0,,0.0,,,,0.0,13.0,14.0,,0.0,0.0,,0.0,0.0,,0.0,10.0,0.0,89.0,9.0,,4.0,,0.0,3.0,4.0,3.0,0.0,,11.0,0.0,0.0,10.0,,0.0,0.0,0.0,74.0,4
Saint Lucia,515,,0.0,,0.0,10.0,,18.0,,0.0,53.0,16.0,,0.0,0.0,,0.0,,0.0,8.0,0.0,13.0,12.0,,,,,0.0,0.0,,0.0,19.0,0.0,217.0,3.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,,3.0,25.0,0.0,0.0,13.0,,0.0,6.0,0.0,62.0,1
Saint Vincent and the Grenadines,491,,0.0,3.0,0.0,16.0,0.0,3.0,,7.0,32.0,4.0,,0.0,,0.0,0.0,,,0.0,,8.0,12.0,,0.0,,0.0,0.0,0.0,,0.0,20.0,0.0,329.0,4.0,0.0,,0.0,0.0,9.0,,,0.0,,5.0,0.0,0.0,9.0,,0.0,0.0,0.0,9.0,4
Samoa,165,0.0,5.0,0.0,0.0,48.0,,0.0,0.0,,,0.0,56.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,0.0,0.0,4.0,0.0,,,,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,,7.0,11.0,0.0,,9.0,0.0,0.0,0.0,,1
Saudi Arabia,397,,0.0,5.0,,74.0,10.0,,,0.0,23.0,5.0,0.0,0.0,27.0,,0.0,0.0,0.0,,0.0,6.0,6.0,23.0,6.0,,,0.0,,3.0,0.0,16.0,,19.0,5.0,0.0,23.0,,,12.0,,,0.0,4.0,45.0,0.0,0.0,42.0,6.0,0.0,6.0,0.0,,5
Senegal,401,0.0,,,0.0,30.0,4.0,,0.0,6.0,13.0,9.0,,,6.0,3.0,0.0,0.0,,0.0,,28.0,22.0,11.0,,,,0.0,,,0.0,20.0,0.0,106.0,4.0,0.0,47.0,,,11.0,19.0,0.0,0.0,4.0,13.0,0.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,7
Serbia and Montenegro,5857,4.0,13.0,178.0,4.0,446.0,32.0,185.0,,7.0,415.0,90.0,5.0,63.0,565.0,49.0,,8.0,103.0,6.0,13.0,50.0,191.0,372.0,41.0,5.0,73.0,0.0,26.0,52.0,19.0,291.0,3.0,1251.0,43.0,10.0,152.0,0.0,42.0,174.0,8.0,0.0,16.0,58.0,245.0,52.0,9.0,106.0,106.0,,201.0,0.0,,68
Sierra Leone,1043,0.0,0.0,9.0,,88.0,4.0,7.0,3.0,10.0,17.0,26.0,0.0,0.0,4.0,,0.0,,,3.0,0.0,201.0,43.0,19.0,39.0,0.0,6.0,0.0,0.0,,,82.0,,70.0,17.0,0.0,57.0,3.0,5.0,72.0,,,0.0,9.0,43.0,0.0,0.0,152.0,5.0,0.0,9.0,0.0,0.0,25
Singapore,338,0.0,0.0,7.0,0.0,146.0,5.0,6.0,0.0,0.0,14.0,5.0,11.0,0.0,7.0,,0.0,0.0,,,,6.0,3.0,3.0,5.0,,,0.0,0.0,3.0,,6.0,0.0,27.0,,0.0,7.0,0.0,8.0,5.0,0.0,0.0,0.0,,21.0,3.0,0.0,6.0,17.0,0.0,4.0,0.0,0.0,2
Slovak Republic,362,0.0,,3.0,,28.0,9.0,12.0,,,30.0,,0.0,,35.0,3.0,0.0,0.0,0.0,,0.0,5.0,6.0,9.0,0.0,0.0,,,0.0,6.0,0.0,80.0,0.0,55.0,3.0,0.0,11.0,,,21.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,4.0,5.0,,4.0,0.0,0.0,1
Slovenia,58,0.0,,,0.0,11.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0
Somalia,3238,0.0,0.0,44.0,0.0,180.0,8.0,11.0,0.0,,,67.0,0.0,,49.0,6.0,,4.0,23.0,0.0,65.0,29.0,98.0,78.0,1154.0,0.0,75.0,0.0,5.0,,0.0,3.0,,62.0,33.0,0.0,546.0,0.0,36.0,9.0,,0.0,,67.0,87.0,19.0,0.0,157.0,268.0,,3.0,0.0,0.0,39
South Africa,1495,6.0,0.0,22.0,3.0,396.0,59.0,27.0,3.0,3.0,138.0,77.0,8.0,3.0,41.0,16.0,0.0,11.0,17.0,7.0,,30.0,55.0,23.0,13.0,4.0,9.0,,,29.0,5.0,47.0,5.0,66.0,31.0,,21.0,,15.0,31.0,,10.0,0.0,32.0,109.0,13.0,0.0,37.0,41.0,0.0,12.0,,0.0,9
Soviet Union (former),3668,,,27.0,,597.0,40.0,47.0,,6.0,124.0,30.0,0.0,,497.0,15.0,0.0,,6.0,6.0,5.0,85.0,384.0,118.0,73.0,,19.0,0.0,4.0,14.0,5.0,197.0,6.0,675.0,34.0,0.0,87.0,,80.0,80.0,20.0,4.0,,10.0,72.0,11.0,6.0,76.0,126.0,0.0,15.0,0.0,,52
