,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
India,47542.0,251.0,7.0,438.0,77.0,9356.0,294.0,613.0,198.0,26.0,1873.0,2324.0,21.0,27.0,3197.0,409.0,37.0,196.0,135.0,87.0,20.0,1222.0,1429.0,1540.0,492.0,74.0,293.0,5.0,52.0,159.0,220.0,5946.0,44.0,4274.0,1230.0,9.0,1093.0,199.0,270.0,2068.0,31.0,289.0,3.0,337.0,3302.0,0.0,23.0,29.0,23.0,1830.0,736.0,42.0,279.0,5.0,408
Indonesia,1287.0,,0.0,15.0,4.0,591.0,23.0,6.0,,,38.0,48.0,14.0,,13.0,8.0,,,,,0.0,27.0,16.0,9.0,6.0,,6.0,,5.0,19.0,10.0,31.0,3.0,80.0,25.0,,15.0,13.0,24.0,28.0,,4.0,0.0,11.0,66.0,0.0,,7.0,,36.0,39.0,,5.0,0.0,18
Iran,11363.0,44.0,5.0,143.0,8.0,5882.0,63.0,53.0,9.0,7.0,384.0,431.0,10.0,11.0,200.0,44.0,,32.0,34.0,14.0,11.0,344.0,186.0,87.0,68.0,10.0,35.0,,6.0,110.0,15.0,196.0,26.0,708.0,159.0,0.0,97.0,65.0,66.0,107.0,7.0,21.0,,68.0,577.0,0.0,,38.0,5.0,557.0,179.0,9.0,31.0,0.0,194
Iraq,3614.0,7.0,0.0,145.0,4.0,715.0,21.0,30.0,0.0,3.0,28.0,65.0,,,260.0,15.0,,6.0,35.0,4.0,3.0,21.0,28.0,1171.0,71.0,,66.0,,48.0,18.0,18.0,11.0,10.0,72.0,8.0,11.0,20.0,3.0,17.0,50.0,3.0,13.0,3.0,167.0,124.0,0.0,0.0,15.0,0.0,161.0,85.0,0.0,11.0,0.0,41
Ireland,1754.0,6.0,,19.0,,277.0,15.0,29.0,4.0,3.0,157.0,24.0,6.0,,83.0,12.0,,,12.0,,,18.0,202.0,14.0,17.0,0.0,4.0,0.0,,12.0,14.0,110.0,5.0,433.0,29.0,,17.0,,8.0,60.0,11.0,14.0,,9.0,26.0,0.0,0.0,4.0,,35.0,27.0,,8.0,,13
Israel,2905.0,,,33.0,0.0,694.0,15.0,19.0,,5.0,400.0,62.0,12.0,,80.0,11.0,,6.0,8.0,5.0,0.0,46.0,104.0,28.0,13.0,0.0,11.0,0.0,0.0,38.0,3.0,200.0,4.0,705.0,30.0,0.0,55.0,7.0,15.0,91.0,6.0,16.0,0.0,7.0,72.0,0.0,6.0,3.0,0.0,34.0,22.0,0.0,13.0,0.0,20
Italy,2769.0,6.0,0.0,33.0,,326.0,23.0,81.0,8.0,5.0,351.0,40.0,7.0,3.0,98.0,6.0,,4.0,5.0,4.0,,40.0,149.0,65.0,5.0,,5.0,0.0,3.0,32.0,15.0,288.0,3.0,661.0,39.0,0.0,48.0,4.0,8.0,153.0,9.0,10.0,0.0,10.0,49.0,0.0,7.0,11.0,5.0,62.0,31.0,5.0,17.0,0.0,30
Jamaica,18953.0,28.0,5.0,22.0,6.0,245.0,29.0,672.0,69.0,34.0,6367.0,859.0,47.0,3.0,156.0,18.0,0.0,10.0,12.0,9.0,6.0,492.0,409.0,70.0,26.0,6.0,24.0,,6.0,20.0,13.0,1102.0,5.0,6653.0,187.0,,85.0,8.0,5.0,459.0,11.0,37.0,,24.0,195.0,0.0,23.0,8.0,,240.0,35.0,7.0,31.0,0.0,168
Japan,2192.0,9.0,0.0,15.0,,768.0,21.0,10.0,,,96.0,35.0,250.0,3.0,57.0,10.0,0.0,5.0,14.0,3.0,,29.0,30.0,36.0,10.0,,13.0,,4.0,41.0,6.0,93.0,7.0,235.0,36.0,0.0,25.0,5.0,24.0,21.0,,14.0,0.0,9.0,56.0,0.0,17.0,9.0,,48.0,84.0,,7.0,,21
Jordan,2634.0,32.0,,39.0,3.0,525.0,10.0,14.0,,,158.0,38.0,,0.0,274.0,32.0,0.0,21.0,23.0,27.0,0.0,31.0,37.0,137.0,19.0,7.0,17.0,,9.0,15.0,5.0,209.0,7.0,195.0,79.0,3.0,121.0,11.0,10.0,96.0,,10.0,0.0,32.0,180.0,0.0,23.0,0.0,0.0,91.0,18.0,3.0,21.0,0.0,41
