,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,757434.0,2084.0,1186.0,13090.0,1605.0,158850.0,7726.0,8332.0,1456.0,1958.0,100890.0,17093.0,800.0,3144.0,1384.0,28376.0,4146.0,2255.0,2905.0,2686.0,2344.0,941.0,16160.0,22753.0,11069.0,12016.0,972.0,4794.0,325.0,2039.0,7667.0,1507.0,42622.0,2689.0,93584.0,11848.0,377.0,10194.0,3133.0,5872.0,16470.0,2212.0,2854.0,4124.0,467.0,5557.0,57762.0,458.0,662.0,3848.0,546.0,24224.0,17524.0,478.0,4379.0,220.0,2777
Africa,74775.0,243.0,70.0,1128.0,85.0,5491.0,1353.0,609.0,359.0,743.0,2019.0,3215.0,4.0,38.0,111.0,2437.0,624.0,468.0,469.0,469.0,189.0,394.0,5066.0,3849.0,836.0,6074.0,80.0,799.0,23.0,628.0,542.0,161.0,3907.0,83.0,6568.0,1792.0,177.0,3096.0,355.0,524.0,2477.0,3.0,537.0,480.0,176.0,1470.0,5880.0,29.0,6.0,320.0,104.0,4777.0,2611.0,59.0,374.0,8.0,386
Asia,257035.0,882.0,680.0,3062.0,601.0,81444.0,2071.0,2158.0,485.0,336.0,8982.0,5684.0,748.0,2418.0,325.0,10255.0,1539.0,656.0,1050.0,923.0,1023.0,221.0,5111.0,5870.0,6097.0,3527.0,501.0,1726.0,99.0,453.0,2913.0,499.0,13995.0,506.0,29363.0,3737.0,78.0,3828.0,1254.0,1916.0,6398.0,61.0,401.0,1286.0,98.0,1970.0,18063.0,134.0,94.0,849.0,156.0,10021.0,7180.0,207.0,2079.0,67.0,955
Europe,82714.0,209.0,220.0,1309.0,107.0,11241.0,1284.0,1838.0,146.0,242.0,6445.0,1885.0,21.0,212.0,244.0,7145.0,605.0,461.0,240.0,455.0,187.0,192.0,1269.0,3373.0,2358.0,975.0,80.0,1220.0,102.0,149.0,766.0,350.0,5082.0,182.0,11957.0,1577.0,66.0,1714.0,240.0,1376.0,2707.0,67.0,273.0,639.0,104.0,655.0,2894.0,36.0,25.0,407.0,156.0,2137.0,3855.0,72.0,757.0,36.0,370
North America,261673.0,586.0,146.0,7115.0,741.0,53654.0,2537.0,1975.0,371.0,457.0,58566.0,4403.0,8.0,210.0,633.0,7357.0,1109.0,585.0,974.0,669.0,747.0,98.0,3299.0,6411.0,1452.0,971.0,253.0,797.0,65.0,718.0,3061.0,303.0,11576.0,1832.0,32957.0,3325.0,48.0,1049.0,1044.0,1772.0,3770.0,1778.0,1317.0,1093.0,76.0,1089.0,27450.0,183.0,523.0,1413.0,89.0,4070.0,3062.0,83.0,938.0,93.0,772
Oceania,3886.0,4.0,33.0,74.0,4.0,1569.0,86.0,34.0,,9.0,100.0,51.0,14.0,148.0,15.0,66.0,10.0,16.0,18.0,16.0,9.0,6.0,37.0,64.0,28.0,25.0,5.0,29.0,11.0,7.0,44.0,11.0,53.0,11.0,149.0,57.0,,37.0,26.0,104.0,60.0,0.0,4.0,38.0,,24.0,166.0,23.0,4.0,161.0,4.0,95.0,274.0,8.0,25.0,5.0,11
South America,76992.0,158.0,37.0,399.0,64.0,5394.0,389.0,1717.0,,170.0,24740.0,1850.0,5.0,118.0,55.0,1088.0,256.0,69.0,151.0,148.0,179.0,30.0,1371.0,3182.0,275.0,441.0,51.0,219.0,25.0,84.0,339.0,183.0,8003.0,75.0,12577.0,1354.0,,439.0,212.0,179.0,1053.0,300.0,321.0,585.0,,335.0,3283.0,52.0,10.0,696.0,37.0,3113.0,536.0,49.0,200.0,11.0,273
Afghanistan,1758.0,,0.0,46.0,0.0,579.0,27.0,14.0,7.0,,22.0,50.0,0.0,0.0,17.0,25.0,10.0,6.0,4.0,10.0,4.0,,29.0,15.0,22.0,4.0,0.0,34.0,0.0,13.0,18.0,0.0,51.0,15.0,216.0,8.0,,14.0,0.0,10.0,25.0,0.0,,4.0,,20.0,62.0,0.0,0.0,8.0,,288.0,61.0,0.0,,0.0,8
Albania,3615.0,,,16.0,0.0,60.0,,178.0,0.0,6.0,322.0,14.0,0.0,,,177.0,,0.0,5.0,5.0,0.0,,28.0,425.0,462.0,3.0,,41.0,0.0,,22.0,9.0,158.0,,1098.0,16.0,0.0,75.0,9.0,7.0,239.0,0.0,,22.0,0.0,14.0,55.0,0.0,0.0,4.0,3.0,54.0,19.0,0.0,37.0,0.0,14
Algeria,891.0,,,5.0,,133.0,13.0,7.0,0.0,3.0,47.0,16.0,0.0,,,41.0,14.0,,4.0,3.0,4.0,,22.0,77.0,16.0,7.0,,4.0,,0.0,,,63.0,,147.0,16.0,0.0,23.0,,,57.0,0.0,,,0.0,,57.0,0.0,0.0,3.0,,57.0,16.0,0.0,10.0,,1
American Samoa,180.0,0.0,7.0,,0.0,38.0,,0.0,0.0,0.0,0.0,,0.0,28.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,4.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,7.0,0.0,,7.0,6.0,0.0,15.0,0.0,10.0,38.0,0.0,,,0
Andorra,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
