,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Equatorial Guinea,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,1145.0,0.0,0.0,17.0,,197.0,45.0,3.0,,30.0,9.0,68.0,0.0,0.0,0.0,26.0,18.0,5.0,7.0,,4.0,0.0,86.0,17.0,9.0,43.0,0.0,19.0,0.0,7.0,28.0,0.0,7.0,0.0,20.0,37.0,0.0,31.0,6.0,13.0,23.0,0.0,3.0,0.0,5.0,7.0,83.0,0.0,0.0,4.0,0.0,111.0,138.0,3.0,5.0,0.0,6.0
Estonia,213.0,,0.0,,0.0,34.0,4.0,3.0,0.0,0.0,39.0,4.0,0.0,0.0,0.0,5.0,3.0,,,,0.0,0.0,9.0,5.0,3.0,,0.0,4.0,0.0,0.0,,0.0,8.0,,29.0,,0.0,10.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,,5.0,,0.0,,0.0,4.0,13.0,0.0,0.0,0.0,0.0
Ethiopia,8323.0,11.0,3.0,81.0,,892.0,288.0,19.0,9.0,354.0,116.0,592.0,0.0,3.0,5.0,158.0,38.0,41.0,59.0,20.0,14.0,11.0,853.0,184.0,48.0,729.0,4.0,84.0,0.0,50.0,300.0,,46.0,,120.0,123.0,,248.0,19.0,85.0,132.0,0.0,,18.0,54.0,165.0,635.0,,0.0,9.0,4.0,974.0,638.0,11.0,24.0,3.0,40.0
Fiji,1003.0,0.0,3.0,5.0,0.0,785.0,,0.0,0.0,0.0,8.0,9.0,0.0,8.0,0.0,4.0,0.0,,5.0,,,0.0,0.0,6.0,,,0.0,6.0,0.0,0.0,6.0,0.0,6.0,,3.0,0.0,,6.0,0.0,23.0,,0.0,0.0,,0.0,,21.0,0.0,0.0,4.0,0.0,,76.0,0.0,,0.0,
Finland,300.0,0.0,0.0,3.0,,53.0,4.0,3.0,0.0,,37.0,23.0,0.0,,,6.0,,,,,3.0,3.0,6.0,8.0,,8.0,0.0,3.0,3.0,0.0,,3.0,4.0,0.0,25.0,6.0,0.0,9.0,,4.0,11.0,0.0,,0.0,,3.0,33.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,6.0,,0.0
France,2534.0,9.0,7.0,46.0,,601.0,36.0,38.0,,30.0,269.0,69.0,,15.0,7.0,76.0,11.0,5.0,8.0,12.0,13.0,5.0,85.0,85.0,43.0,33.0,,7.0,3.0,5.0,28.0,10.0,98.0,15.0,295.0,46.0,,27.0,8.0,32.0,60.0,4.0,11.0,33.0,,15.0,128.0,0.0,8.0,8.0,5.0,88.0,56.0,,21.0,0.0,9.0
French Polynesia,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Gabon,72.0,,,0.0,0.0,9.0,0.0,0.0,0.0,,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,7.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0
Gambia,573.0,,7.0,,,4.0,3.0,,,,8.0,68.0,0.0,0.0,,,,0.0,5.0,17.0,0.0,0.0,50.0,10.0,16.0,14.0,0.0,3.0,0.0,,0.0,0.0,15.0,0.0,100.0,30.0,0.0,25.0,,7.0,14.0,0.0,14.0,4.0,,11.0,13.0,0.0,0.0,0.0,0.0,13.0,74.0,,28.0,0.0,
