,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1046539.0,1982.0,1145.0,24055.0,2330.0,297909.0,11972.0,9589.0,1425.0,1492.0,128328.0,20417.0,998.0,5205.0,2240.0,45224.0,5104.0,3503.0,4072.0,3093.0,3018.0,924.0,23342.0,28728.0,14634.0,9220.0,944.0,5849.0,358.0,2866.0,13150.0,1617.0,59950.0,3058.0,90572.0,8509.0,336.0,11142.0,3335.0,9257.0,19673.0,2622.0,3721.0,3488.0,572.0,5560.0,82129.0,565.0,934.0,5394.0,518.0,29949.0,18665.0,505.0,5200.0,245.0,5907
Africa,54420.0,129.0,38.0,790.0,84.0,4968.0,989.0,504.0,163.0,379.0,2114.0,2787.0,8.0,42.0,43.0,1755.0,456.0,276.0,264.0,292.0,135.0,219.0,4571.0,3085.0,728.0,3077.0,67.0,652.0,10.0,308.0,458.0,124.0,3452.0,62.0,3844.0,952.0,53.0,2129.0,196.0,356.0,1899.0,8.0,609.0,241.0,142.0,840.0,4107.0,54.0,13.0,218.0,31.0,3916.0,1036.0,35.0,284.0,12.0,416
Asia,323792.0,934.0,586.0,4490.0,732.0,109898.0,3208.0,2667.0,600.0,281.0,10522.0,7003.0,918.0,4286.0,358.0,14070.0,1829.0,1043.0,1553.0,1091.0,1368.0,280.0,8867.0,8399.0,8234.0,3445.0,501.0,2443.0,77.0,874.0,4175.0,579.0,21870.0,498.0,21542.0,2951.0,83.0,4685.0,1215.0,3347.0,8478.0,87.0,602.0,1305.0,152.0,2454.0,21272.0,217.0,79.0,1162.0,151.0,14218.0,7979.0,248.0,2133.0,50.0,1703
Europe,115187.0,266.0,192.0,2220.0,147.0,17573.0,2077.0,2260.0,148.0,159.0,8352.0,2379.0,15.0,229.0,436.0,11778.0,817.0,806.0,310.0,805.0,199.0,221.0,2260.0,5283.0,3357.0,1186.0,85.0,1506.0,110.0,299.0,1070.0,423.0,8338.0,206.0,13439.0,1058.0,120.0,2523.0,285.0,2059.0,3941.0,83.0,682.0,609.0,151.0,656.0,3768.0,74.0,19.0,770.0,207.0,2788.0,4673.0,76.0,999.0,35.0,660
North America,462372.0,525.0,235.0,15777.0,1283.0,155006.0,5032.0,2586.0,413.0,509.0,82363.0,6491.0,30.0,313.0,1316.0,16018.0,1752.0,1274.0,1721.0,735.0,1123.0,160.0,5639.0,9251.0,1929.0,1117.0,219.0,1016.0,132.0,1284.0,6897.0,333.0,15399.0,2159.0,37104.0,2686.0,61.0,1307.0,1440.0,3175.0,4132.0,2050.0,1411.0,886.0,112.0,1243.0,49084.0,152.0,807.0,2348.0,102.0,5667.0,4317.0,97.0,1528.0,128.0,2498
Oceania,4781.0,8.0,37.0,89.0,5.0,2192.0,148.0,23.0,4.0,7.0,134.0,45.0,19.0,209.0,17.0,71.0,27.0,10.0,22.0,14.0,13.0,5.0,50.0,70.0,46.0,32.0,8.0,33.0,11.0,5.0,63.0,9.0,67.0,14.0,162.0,50.0,,41.0,12.0,104.0,46.0,0.0,5.0,16.0,4.0,26.0,201.0,12.0,,206.0,,91.0,226.0,3.0,26.0,5.0,33
South America,84853.0,116.0,56.0,668.0,76.0,8158.0,516.0,1545.0,97.0,156.0,24583.0,1679.0,8.0,122.0,70.0,1462.0,219.0,93.0,197.0,145.0,171.0,39.0,1940.0,2635.0,309.0,360.0,61.0,191.0,18.0,94.0,483.0,148.0,10805.0,114.0,14459.0,797.0,,424.0,169.0,211.0,1171.0,391.0,411.0,415.0,11.0,312.0,3446.0,56.0,,686.0,23.0,3253.0,426.0,46.0,224.0,15.0,544
Afghanistan,2650.0,3.0,0.0,102.0,,1021.0,39.0,15.0,14.0,,36.0,53.0,0.0,0.0,22.0,42.0,25.0,7.0,6.0,9.0,10.0,7.0,36.0,39.0,19.0,5.0,0.0,76.0,0.0,18.0,25.0,7.0,86.0,18.0,169.0,10.0,3.0,17.0,0.0,23.0,37.0,0.0,3.0,,6.0,24.0,114.0,0.0,0.0,24.0,,409.0,32.0,0.0,6.0,,26
Albania,2972.0,6.0,0.0,27.0,0.0,63.0,8.0,140.0,,5.0,247.0,4.0,0.0,0.0,,183.0,7.0,0.0,6.0,3.0,0.0,4.0,30.0,426.0,444.0,4.0,0.0,48.0,,,20.0,5.0,168.0,,483.0,14.0,,100.0,8.0,4.0,263.0,0.0,0.0,17.0,0.0,8.0,61.0,0.0,0.0,6.0,3.0,57.0,19.0,0.0,46.0,0.0,25
Algeria,894.0,,0.0,11.0,,138.0,19.0,7.0,0.0,0.0,44.0,8.0,0.0,,0.0,59.0,15.0,6.0,3.0,,6.0,0.0,29.0,90.0,12.0,15.0,,3.0,0.0,0.0,7.0,6.0,78.0,,89.0,13.0,0.0,28.0,3.0,5.0,62.0,,3.0,,0.0,5.0,38.0,0.0,0.0,3.0,0.0,54.0,10.0,0.0,8.0,0.0,5
